com.samsung.health.weight,6212007,10
body_fat_mass,start_time,custom,height,weight,muscle_mass,update_time,create_time,skeletal_muscle,fat_free_mass,basal_metabolic_rate,time_offset,deviceuuid,skeletal_muscle_mass,comment,fat_free,pkg_name,body_fat,datauuid,vfa_level,total_body_water
,2020-01-08 18:59:29.733,,,78.0,,2020-01-08 18:59:50.588,2020-01-08 18:59:50.588,,,,UTC-0500,im26HRLwRA,,,,com.sec.android.app.shealth,15.0,adcfb5d5-2357-4c00-a795-5327882ac320,,,
,2021-04-10 13:52:43.533,,169.0,88.05,,2021-04-10 13:52:43.566,2021-04-10 13:52:43.566,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,17.876251,b12b46c0-3d4b-4aa5-99aa-170a04956c6d,,,
,2021-04-16 11:47:05.993,,169.0,88.3,,2021-04-16 11:47:06.035,2021-04-16 11:47:06.035,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,17.96257,c9e0a92e-2215-464e-b24b-82a54cf6d310,,,
,2021-08-25 10:22:23.847,,169.0,93.8,,2021-08-25 10:22:34.604,2021-08-25 10:22:34.604,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,,63fedd01-e773-4f3a-b768-f1f0f044fcc4,,,
,2021-09-03 10:33:53.621,,169.0,93.45,,2021-09-03 10:33:53.639,2021-09-03 10:33:53.639,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,19.392195,c1faeaff-a36b-4428-a10b-d43cb2e14b6a,,,
,2021-09-08 10:41:16.607,,169.0,92.55,,2021-09-08 10:41:16.631,2021-09-08 10:41:16.631,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,19.1443,709473e5-da6b-4402-8a30-c618793e5b04,,,
,2021-09-12 12:45:10.605,,169.0,92.7,,2021-09-12 12:45:10.627,2021-09-12 12:45:10.627,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,19.190378,0279e1ef-bc12-4aa0-854a-705ceda0f76f,,,
,2021-09-17 10:25:45.324,,169.0,91.95,,2021-09-17 10:25:45.370,2021-09-17 10:25:45.370,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.98856,a2f77fee-49a3-4db6-a8bf-7951b0786dfe,,,
,2021-09-19 14:52:21.934,,169.0,90.45,,2021-09-19 14:52:21.941,2021-09-19 14:52:21.941,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.584925,51f35828-56b4-4552-8088-4a43c98f20ec,,,
,2021-09-25 12:28:17.782,,169.0,91.65,,2021-09-25 12:28:17.791,2021-09-25 12:28:17.791,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.896404,1ce8af8f-422c-4d60-988a-52feab1e054d,,,
,2021-10-01 10:41:09.767,,169.0,91.25,,2021-10-01 10:41:09.780,2021-10-01 10:41:09.780,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.792578,ae95f1ee-8756-47f8-a7f5-6d75c9511808,,,
,2021-10-06 10:22:50.462,,169.0,91.1,,2021-10-06 10:22:50.472,2021-10-06 10:22:50.472,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.7465,63cfea4f-8915-48f1-9450-0917902e0c04,,,
,2021-10-11 11:38:08.141,,169.0,90.7,,2021-10-11 11:38:08.145,2021-10-11 11:38:08.145,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.642673,0f732c05-f5a0-4eff-9128-d4f40d7db4c7,,,
,2021-10-19 10:19:26.120,,169.0,91.15,,2021-10-19 10:19:26.133,2021-10-19 10:19:26.133,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.752335,c814fb69-b5bb-4a76-a566-4cbd94d751f2,,,
,2021-10-30 13:54:41.967,,169.0,89.0,,2021-10-30 13:54:41.988,2021-10-30 13:54:41.988,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.187124,f1267cc7-db1d-46cb-8262-f60a751b2c1d,,,
,2021-11-05 12:28:49.213,,169.0,89.7,,2021-11-05 12:28:49.229,2021-11-05 12:28:49.229,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.383106,82f7dce0-588d-4aac-a152-60494b54bccc,,,
,2021-11-11 12:09:17.892,,169.0,88.6,,2021-11-11 12:09:17.909,2021-11-11 12:09:17.909,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.054728,da45e4c4-80f8-4229-9908-c4a3a3dbaa87,,,
,2021-11-17 11:18:20.361,,169.0,88.35,,2021-11-17 11:18:20.376,2021-11-17 11:18:20.376,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,17.996979,b8f08c4c-f728-490a-9f09-d2ebde7ae683,,,
,2021-11-20 13:48:30.675,,169.0,88.0,,2021-11-20 13:48:30.682,2021-11-20 13:48:30.682,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,17.898987,04d4ce28-3a47-4e74-b3f7-65c2a2a4bf50,,,
,2021-11-26 11:33:37.838,,169.0,88.1,,2021-11-26 11:33:37.864,2021-11-26 11:33:37.864,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,17.93923,118151f3-2a50-41e8-90b0-0704f9f8a017,,,
,2021-12-02 11:10:17.590,,169.0,88.35,,2021-12-02 11:10:17.624,2021-12-02 11:10:17.624,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,17.996979,2066b56d-4549-40d2-93b7-bbda071039bc,,,
,2021-12-08 11:31:16.691,,169.0,87.15,,2021-12-08 11:31:16.713,2021-12-08 11:31:16.713,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.685497,d8e82b21-a9d2-47bd-8c43-308db483aa4f,,,
,2021-12-14 11:30:25.799,,169.0,87.15,,2021-12-14 11:30:25.835,2021-12-14 11:30:25.835,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.685497,cb1a9343-2ff4-4f62-827c-b92b35dfebf5,,,
,2021-12-21 11:47:51.656,,169.0,86.85,,2021-12-21 11:47:51.670,2021-12-21 11:47:51.670,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.593342,a9abcfaa-629d-4bfb-b8ca-397d4e87036d,,,
,2021-12-28 14:45:51.538,,169.0,86.9,,2021-12-28 14:45:51.567,2021-12-28 14:45:51.567,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.599178,d7ca3228-4f18-4a33-975a-ee4a9fcf81fd,,,
,2022-01-02 13:43:31.718,,169.0,86.8,,2022-01-02 13:43:31.743,2022-01-02 13:43:31.743,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.587507,0aa1c371-bc88-43cf-a6d7-f814111070c4,,,
,2022-01-08 14:40:34.897,,169.0,85.45,,2022-01-08 14:40:34.917,2022-01-08 14:40:34.917,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.22995,ee66a98f-f511-4890-b4f5-c95f2553162f,,,
,2022-01-14 11:35:01.912,,169.0,85.75,,2022-01-14 11:35:01.940,2022-01-14 11:35:01.940,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.322105,81b9e2b3-2aa1-404e-a1be-867205276fca,,,
,2022-01-20 10:41:19.239,,169.0,84.85,,2022-01-20 10:41:19.270,2022-01-20 10:41:19.270,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.07421,35f0d17b-6b83-4d50-b856-c49eaf0abf85,,,
,2022-01-26 12:10:10.568,,169.0,84.5,,2022-01-26 12:10:10.597,2022-01-26 12:10:10.597,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.947647,0c52ca08-ee7a-4a5f-91bc-e835fe406d76,,,
,2022-02-01 10:52:44.093,,169.0,83.95,,2022-02-01 10:52:44.128,2022-02-01 10:52:44.128,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.826315,24bbd51f-d5dc-4297-87f2-adf2aff09925,,,
,2022-02-07 11:32:20.157,,169.0,83.85,,2022-02-07 11:32:20.187,2022-02-07 11:32:20.187,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.786072,55b1920a-2995-4f08-b157-86c9a4ca20b7,,,
,2022-02-12 14:02:36.000,,169.0,83.5,,2022-02-13 14:27:34.678,2022-02-13 14:27:34.678,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,16.716652,fd279510-5229-4664-be73-cb27be598da0,,,
,2022-02-18 11:45:15.392,,169.0,83.25,,2022-02-18 11:45:15.413,2022-02-18 11:45:15.413,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.630333,a8a87a65-9d59-4a6e-b77e-43988ce63d56,,,
,2022-02-24 11:16:05.397,,169.0,82.85,,2022-02-24 11:16:05.422,2022-02-24 11:16:05.422,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.526506,a326f71d-72f0-4dd3-93e7-929a6ac79f4b,,,
,2022-03-02 13:23:12.854,,169.0,82.1,,2022-03-02 13:23:12.981,2022-03-02 13:23:12.981,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.324688,1d05c495-0853-45c6-aabe-f1a8810a79cc,,,
,2022-03-08 11:13:00.468,,169.0,82.05,,2022-03-08 11:13:00.537,2022-03-08 11:13:00.537,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.318851,c0e77889-d3e8-4ddd-b3fa-7c96e7d50de1,,,
,2022-03-15 10:08:23.066,,169.0,82.05,,2022-03-15 10:08:23.085,2022-03-15 10:08:23.085,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.318851,ca7f090a-f676-4253-a777-7ca55be550ce,,,
,2022-03-21 10:16:45.952,,169.0,82.15,,2022-03-21 10:16:45.969,2022-03-21 10:16:45.969,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.330523,2ccb8832-6b4c-467d-be89-f3ad42484082,,,
,2022-03-27 12:29:27.033,,169.0,81.7,,2022-03-27 12:29:27.052,2022-03-27 12:29:27.052,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.220861,72329b0d-3940-4053-a7ab-20050844df09,,,
,2022-04-03 12:42:15.000,,169.0,81.95,,2022-04-03 12:42:21.925,2022-04-03 12:42:21.925,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,16.27861,c61d0192-7b82-4980-a8dc-3c9f6aabaebb,,,
,2022-04-08 10:19:05.684,,169.0,81.65,,2022-04-08 10:19:05.695,2022-04-08 10:19:05.695,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.186455,e3b53ac7-ed95-42e9-a6eb-a2c1b1e6e7d5,,,
,2022-04-14 10:49:47.774,,169.0,81.75,,2022-04-14 10:49:47.807,2022-04-14 10:49:47.807,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.226696,ecb063ed-13aa-461d-8af6-b4a277fd9d92,,,
,2022-04-19 09:40:11.669,,169.0,82.35,,2022-04-19 09:40:11.782,2022-04-19 09:40:11.782,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.382437,4040d0ab-b53e-431b-a88f-178716355b33,,,
,2022-04-24 15:58:14.180,,169.0,81.75,,2022-04-24 15:58:14.191,2022-04-24 15:58:14.191,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.226696,8d271a2a-6b6a-4a21-853c-ed3f8a212700,,,
,2022-04-30 13:03:19.000,,169.0,82.15,,2022-04-30 13:03:22.498,2022-04-30 13:03:22.498,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,16.330523,e6687326-1b3e-449f-8611-136e50ca179d,,,
,2022-05-04 10:37:44.657,,169.0,82.15,,2022-05-04 10:37:44.756,2022-05-04 10:37:44.756,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.330523,f19ac71e-a273-4b2d-908e-fac3c2485f72,,,
,2022-05-09 10:20:31.102,,169.0,82.45,,2022-05-09 10:20:31.138,2022-05-09 10:20:31.138,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.422678,5e19f6c6-3161-4339-8ceb-ecc334ca195d,,,
,2022-05-15 12:20:27.812,,169.0,82.25,,2022-05-15 12:20:27.866,2022-05-15 12:20:27.866,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.370766,e811632a-5e5c-46fe-8010-0b50ee4a9df8,,,
,2022-05-21 13:04:28.128,,169.0,82.45,,2022-05-21 13:04:28.153,2022-05-21 13:04:28.153,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.394108,c79cf212-520d-43f3-bbe9-4e004211f094,,,
,2022-05-28 12:46:13.502,,169.0,82.45,,2022-05-28 12:46:13.593,2022-05-28 12:46:13.593,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.422678,e9ca4b1a-c8f2-4cff-8787-77e65aaf91f4,,,
,2022-06-03 11:28:17.612,,169.0,82.0,,2022-06-03 11:28:17.667,2022-06-03 11:28:17.667,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.284445,86a845e2-98c0-4fa3-b8a4-b5c1a2aece24,,,
,2021-04-06 12:12:21.427,,169.0,88.25,,2021-04-06 12:12:29.046,2021-04-06 12:12:29.046,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,,71c69ad0-1783-48f0-8e66-6dca31771382,,,
