com.samsung.shealth.food_frequent,6212007,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.99,2019-12-11 21:51:20.246,2019-12-11 21:51:20.246,0.99,0.99,0.99,im26HRLwRA,com.sec.android.app.shealth,0.99,0b3873d1-8354-4a1f-8ef8-87636b8d416f,c7a16d32-775e-4a8e-87fe-3af008219597,0.99,
0.75,2019-12-11 21:51:20.248,2019-12-11 21:51:20.248,0.75,0.75,0.75,im26HRLwRA,com.sec.android.app.shealth,0.75,c0379719-faf8-48b0-99ad-f8e0ff667d74,b5a68e9e-ff09-45d1-a13d-82a07a2d8921,0.75,
0.95,2019-12-11 21:51:20.246,2019-12-11 21:51:20.246,0.95,0.95,0.95,im26HRLwRA,com.sec.android.app.shealth,0.95,5f62ddd2-eeb3-42a2-889e-2c910081bc49,f80bceba-62b0-4ea7-988f-6280adc601bf,0.95,
0.71,2019-12-11 21:51:20.248,2019-12-11 21:51:20.248,0.71,0.71,0.71,im26HRLwRA,com.sec.android.app.shealth,0.71,8524730b-b1d3-4bd6-8749-3dd66074c54f,3b40ddd7-97c8-4dd4-8057-1f28e6a004c5,0.71,
0.91,2019-12-11 21:51:20.247,2019-12-11 21:51:20.247,0.91,0.91,0.91,im26HRLwRA,com.sec.android.app.shealth,0.91,b4f44fff-8c84-4548-ae18-1e4600ca4b4c,ff789631-1f76-4f28-88ed-f03b3d8fd4da,0.91,
0.67,2019-12-11 21:51:20.249,2019-12-11 21:51:20.249,0.67,0.67,0.67,im26HRLwRA,com.sec.android.app.shealth,0.67,88198e15-5efb-491e-a4b6-441b79a5bea2,cd84c272-d2f7-45b5-bda0-ce06b4538f1e,0.67,
0.87,2019-12-11 21:51:20.247,2019-12-11 21:51:20.247,0.87,0.87,0.87,im26HRLwRA,com.sec.android.app.shealth,0.87,a0afa488-411c-47ff-bc7b-709056748a57,9f7b0953-728f-4ab2-8a0c-672529fc024f,0.87,
0.63,2019-12-11 21:51:20.249,2019-12-11 21:51:20.249,0.63,0.63,0.63,im26HRLwRA,com.sec.android.app.shealth,0.63,f852faf1-4093-41fc-8f30-94940b081df3,a243d000-a185-46c4-914f-34ac56732aa2,0.63,
0.83,2019-12-11 21:51:20.248,2019-12-11 21:51:20.248,0.83,0.83,0.83,im26HRLwRA,com.sec.android.app.shealth,0.83,a33fa2da-eb92-4457-a7cc-7e1d876c1c00,874b5e1c-a936-45ba-9557-d8df06dd8dba,0.83,
0.79,2019-12-11 21:51:20.248,2019-12-11 21:51:20.248,0.79,0.79,0.79,im26HRLwRA,com.sec.android.app.shealth,0.79,90bedae1-bbeb-44bc-9702-7a2e8492fbf1,e3ed2cd6-7584-4c97-8334-1d5ca91f8576,0.79,
