com.samsung.shealth.rewards,6212007,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,,,,,2019-12-11 21:51:22.765,2019-12-11 21:51:22.765,,,LAST_SLEEP_CHECKING_TIME,,,im26HRLwRA,com.sec.android.app.shealth,Sleep.Goal.Temp,1970-01-01 00:00:00.000,d46891a5-80e7-429c-84ce-9e095f957beb,-10000,
,2019-12-25 05:00:00.000,,100003,,2019-12-31 05:00:06.572,2019-12-26 00:56:14.402,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":7173}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2019-12-25 05:00:00.000,37c23cc0-a6d4-4b23-9d18-8e95c65c8cbd,1,
,2020-02-16 05:00:00.000,,100003,,2020-02-22 05:41:13.869,2020-02-17 03:15:55.872,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6278}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-02-16 05:00:00.000,3624dd89-de1d-4cfb-9465-50bad85ebc46,1,
,2020-03-20 04:00:00.000,,100003,,2020-03-26 04:00:02.347,2020-03-20 23:22:00.838,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8817}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-03-20 04:00:00.000,88adcec0-c94a-4e5a-b50e-6d227159a2a8,1,
,2020-05-01 22:55:28.407,,,,2020-05-06 22:55:01.111,2020-05-01 22:55:28.461,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":72,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-05-01 22:55:28.407,2f7d40b7-d95a-4083-87e3-721bf08e62d8,0,
,2020-05-07 04:00:00.000,,100003,,2020-05-13 04:00:02.297,2020-05-07 23:11:25.486,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6023}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-05-07 04:00:00.000,a115875d-7b58-44b0-9d89-ebe785f8a548,1,
,2020-05-20 04:00:00.000,,10009,,2020-05-26 04:00:02.364,2020-05-20 22:05:38.715,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6250}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-05-20 04:00:00.000,0d062a24-a835-4afc-ae71-f9e73618b9bf,1,
,2020-05-24 02:55:15.237,,,,2020-07-12 16:12:01.924,2020-05-23 22:35:05.854,,,goal_activity_reward_most_active_day,UTC-0400,"{""mIsCompleted"":false,""mValue"":173,""mValue2"":0}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-05-23 22:35:05.818,df79c4d2-f4f5-425d-9523-48ad712a333a,0,
,2020-06-03 04:00:00.000,,10009,,2020-06-09 04:00:00.944,2020-06-04 02:05:13.465,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6151}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-06-03 04:00:00.000,afa26e00-e418-4280-9d86-f3ea96b5f66d,1,
,2020-06-10 04:00:00.000,,10009,,2020-06-16 04:30:24.413,2020-06-10 23:26:31.960,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6246}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-06-10 04:00:00.000,32cf41f9-9ed2-460b-a0ab-25b82a6ecb98,1,
,2020-07-03 04:00:00.000,,100003,,2020-07-09 04:00:01.047,2020-07-03 23:08:15.168,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":9618}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-07-03 04:00:00.000,bc2f75ef-c95e-4193-b74a-ae59b35b2e1b,1,
,2020-07-06 23:23:51.398,,,,2020-07-07 23:09:56.052,2020-07-06 23:23:51.413,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":84,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-07-06 23:23:51.398,b40ca9af-74d9-4544-8230-0d361e07d187,0,
,2020-07-08 04:00:00.000,,100003,,2020-07-14 04:00:01.094,2020-07-09 02:35:02.879,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6085}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-07-08 04:00:00.000,c687d734-01e5-40d2-b57c-914bf58f74d8,1,
,2020-07-10 04:00:00.000,,100003,,2020-07-16 04:00:02.787,2020-07-11 00:30:29.568,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7161}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-07-10 04:00:00.000,1503d1eb-4959-4a12-ac59-e984e51f042c,1,
,2020-07-13 02:55:01.272,,,,2020-07-13 02:55:01.294,2020-07-12 16:12:01.933,,,goal_activity_reward_most_active_day,UTC-0400,"{""mIsCompleted"":false,""mValue"":225,""mValue2"":0}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-07-12 16:12:01.899,71e23d6f-96bd-49ba-b934-de94e74ec199,1,
,2020-07-18 12:33:14.945,,,,2020-07-19 23:36:00.443,2020-07-18 12:33:14.958,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":196,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-07-18 12:33:14.945,9c1942ae-59df-4441-a0f4-17f998219b53,0,
,2020-07-20 04:00:00.000,,100003,,2020-07-26 04:00:03.525,2020-07-20 23:21:05.582,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8260}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-07-20 04:00:00.000,05aca3f8-3d34-4aae-99e2-9647be6dda5e,1,
,2020-07-23 01:33:33.340,,,,2020-07-24 00:11:34.575,2020-07-23 01:33:33.369,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":99,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-07-23 01:33:33.340,8b12751c-e9d1-4910-a452-d47414c8c78d,0,
,2020-07-24 04:00:00.000,,100003,,2020-07-30 04:00:03.893,2020-07-24 23:44:25.913,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7180}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-07-24 04:00:00.000,48690fd3-975f-43bb-8712-d935c293e3f8,1,
,2020-07-29 04:00:00.000,,100003,,2020-08-04 04:00:28.204,2020-07-29 23:58:32.415,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6374}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-07-29 04:00:00.000,dd7b7eb0-9c01-4a08-9fe6-1e914582c860,1,
,2020-08-01 04:00:00.000,,100003,,2020-08-07 04:00:02.475,2020-08-02 01:32:13.856,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6221}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-08-01 04:00:00.000,5c921961-eb78-4b52-8796-0b96816eada9,1,
,2020-08-07 01:25:00.774,,,,2020-08-07 23:04:33.895,2020-08-07 01:25:00.781,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":66,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-08-07 01:25:00.774,1566a8a2-0e10-4eaa-a43c-4be5b057b610,0,
,2020-08-08 04:00:00.000,,10009,,2020-08-14 04:00:02.678,2020-08-08 19:35:02.159,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":9797}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-08-08 04:00:00.000,9f5e0529-67f9-4789-af2d-0aa2c59ce5c6,1,
,2020-08-13 04:00:00.000,,10009,,2020-08-19 04:00:02.603,2020-08-14 00:07:36.454,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6089}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-08-13 04:00:00.000,52eb841a-b7bd-49b5-af8c-0c2d2e5b82d3,1,
,2020-08-19 04:00:00.000,,10009,,2020-08-25 04:00:01.829,2020-08-19 23:13:31.401,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6458}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-08-19 04:00:00.000,54e7f550-368b-477d-aa7a-794242d77a20,1,
,2020-08-22 03:31:05.125,,,,2020-08-23 00:55:33.213,2020-08-22 03:31:05.160,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":63,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-08-22 03:31:05.125,e4fd3683-3daf-4844-9ba0-cb0dc8b2e160,0,
,2020-08-29 04:00:00.000,,10009,,2020-09-04 04:00:02.765,2020-08-29 20:30:24.468,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":13060}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-08-29 04:00:00.000,505d26a5-7ce8-40fa-94bc-df3627bf6d11,1,
,2019-12-17 01:19:28.016,,,,2019-12-19 01:08:59.903,2019-12-17 01:19:28.053,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":62,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2019-12-17 01:19:28.016,27e9f775-fc2f-4ad0-b018-1012070105e8,0,
,2020-09-02 04:00:00.000,,10009,,2020-09-08 04:00:01.660,2020-09-02 23:53:44.122,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7233}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-09-02 04:00:00.000,43bbaefb-b1a2-4860-b76c-b369bbd3bc3d,1,
,2019-12-26 01:05:46.508,,,,2020-01-01 04:13:15.915,2019-12-26 01:05:46.563,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":69,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2019-12-26 01:05:46.508,799569b9-2723-4ba1-8b40-ceecd0956754,0,
,2020-09-05 19:04:21.490,,,,2020-09-09 23:57:07.903,2020-09-05 19:04:21.517,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":69,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-09-05 19:04:21.490,e0ce21c1-772a-4610-b758-d866d1d538c0,0,
,2020-03-13 00:54:29.513,,,,2020-03-13 22:55:37.293,2020-03-13 00:54:29.578,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":62,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-03-13 00:54:29.513,e2d7ccf3-fde2-4d0e-b910-18add53ad85b,0,
,2020-03-20 23:35:02.321,,,,2020-04-23 23:02:56.894,2020-03-20 23:35:02.354,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":80,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-03-20 23:35:02.321,9802d606-9174-4b3f-96f1-0702e8f99a09,0,
,2020-05-01 04:00:00.000,,100003,,2020-05-07 04:57:01.633,2020-05-01 22:55:29.170,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8128}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-05-01 04:00:00.000,ff59e567-a30c-475b-9e7c-184d2a879341,1,
,2020-05-08 04:00:00.000,,10009,,2020-05-14 04:00:02.161,2020-05-08 22:55:37.588,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6381}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-05-08 04:00:00.000,8b613eee-28d5-4019-95f9-60d78d9956ec,1,
,2020-05-20 04:00:00.000,,100003,,2020-05-26 04:00:02.922,2020-05-20 22:05:39.591,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6250}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-05-20 04:00:00.000,ce09719e-6f01-42ba-9e41-1346e07fb123,1,
,2019-12-19 01:08:59.888,,,,2019-12-20 02:52:59.991,2019-12-19 01:08:59.908,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":62,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2019-12-19 01:08:59.888,ba48cb4d-540c-4ba6-8500-ef90ca2f413e,0,
,2019-12-20 02:52:59.952,,,,2019-12-23 04:32:33.204,2019-12-20 02:53:00.036,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":61,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2019-12-20 02:52:59.952,834f7cde-70ff-4f3e-ada7-0760d93fa1c3,0,
,2020-05-23 04:00:00.000,,10009,,2020-05-24 04:00:02.390,2020-05-23 22:45:51.648,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":16951}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-05-23 04:00:00.000,2e36bc66-28cf-49d3-b510-62b18d371c08,1,
,2020-01-01 04:13:15.888,,,,2020-01-04 03:36:10.615,2020-01-01 04:13:15.918,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":61,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-01-01 04:13:15.888,f1eb363b-2556-495b-9bfa-6e7f90860e71,0,
,2020-01-04 03:36:10.555,,,,2020-02-16 23:35:31.035,2020-01-04 03:36:10.616,,,goal_activity_reward_goal_achieved,UTC-0500,"{""mIsCompleted"":false,""mValue"":61,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-01-04 03:36:10.555,e4447fab-664b-4ac7-a6a8-1e5ad2f57ee5,0,
,2020-06-03 04:00:00.000,,100003,,2020-06-09 04:00:01.416,2020-06-04 02:05:14.282,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6151}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-06-03 04:00:00.000,a12956a3-063b-42e1-a481-9b60df068f09,1,
,2020-03-13 04:00:00.000,,10009,,2020-03-19 04:00:01.929,2020-03-14 02:14:56.904,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6228}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-03-13 04:00:00.000,4782fa3b-6eab-47eb-9c79-06f1ee57553d,1,
,2020-06-10 04:00:00.000,,100003,,2020-06-16 04:30:24.753,2020-06-10 23:26:33.063,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6246}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-06-10 04:00:00.000,f53154c2-66c4-4cbd-9ba7-29a23ce7d7de,1,
,2020-04-23 04:00:00.000,,100003,,2020-04-29 04:04:55.613,2020-04-23 22:56:14.894,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6926}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-04-23 04:00:00.000,8e5d3ab6-0503-4afa-8668-ce04c910af80,1,
,2020-07-03 23:09:00.628,,,,2020-07-04 21:11:00.210,2020-07-03 23:09:00.655,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":94,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-07-03 23:09:00.628,ae3dce8a-d743-4117-8020-e255085ca603,0,
,2020-05-06 04:00:00.000,,100003,,2020-05-12 04:00:00.883,2020-05-06 22:18:20.784,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6547}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-05-06 04:00:00.000,f7244c1a-37e3-4acf-a238-d85d6cfbd860,1,
,2020-05-13 04:00:00.000,,10009,,2020-05-19 04:00:00.687,2020-05-13 23:25:37.919,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6401}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-05-13 04:00:00.000,5c6aa32b-0b57-46f1-8392-071c93ebc84b,1,
,2020-09-10 04:00:00.000,,10009,,2020-09-16 04:00:01.677,2020-09-11 00:15:01.943,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6616}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-09-10 04:00:00.000,7f75265a-33fb-41c9-83d2-5833cf0016c1,1,
,2020-05-23 22:00:00.297,,,,2020-06-01 23:26:05.931,2020-05-23 22:00:00.329,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":173,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-05-23 22:00:00.297,14ee284f-4b2f-4a03-894e-15de1f7b3995,0,
,2020-09-14 04:00:00.000,,10009,,2020-09-20 04:00:01.306,2020-09-15 00:39:18.616,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6052}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-09-14 04:00:00.000,a94f4dd7-919c-454d-bca9-dbe3668e7b6a,1,
,2020-09-20 04:00:00.000,,100003,,2020-09-26 04:00:24.610,2020-09-21 00:59:14.842,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6301}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-09-20 04:00:00.000,a7b20dee-ae9a-49cc-9e3f-79d8a253b5cd,1,
,2020-06-01 04:00:00.000,,10009,,2020-06-07 04:00:37.242,2020-06-01 23:23:08.035,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7666}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-06-01 04:00:00.000,becf99e4-c081-47cc-8139-f546f290bf86,1,
,2020-07-06 04:00:00.000,,100003,,2020-07-12 04:00:00.885,2020-07-06 23:23:52.000,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":9374}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-07-06 04:00:00.000,415e9005-d0d8-4d47-98d7-12811d06aa82,1,
,2020-06-08 04:00:00.000,,10009,,2020-06-14 04:00:02.283,2020-06-08 22:55:01.724,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7001}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-06-08 04:00:00.000,a83bfcb2-7737-4115-a61e-9a49c3e9942e,1,
,2020-07-09 04:00:00.000,,10009,,2020-07-15 04:00:00.703,2020-07-09 14:54:51.465,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6936}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-07-09 04:00:00.000,fe0974ba-695d-47af-b28c-7fedd325c0bb,1,
,2020-07-01 00:04:05.383,,,,2020-07-03 23:09:00.650,2020-07-01 00:04:05.410,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":71,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-07-01 00:04:05.383,15f79213-a41e-4b4c-8176-0ab75cb63cce,0,
,2020-07-12 04:00:00.000,,10009,,2020-07-18 04:00:00.735,2020-07-12 12:12:58.101,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":22708}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-07-12 04:00:00.000,0671a5ff-5d6a-478e-9069-947204236186,1,
,2020-07-04 04:00:00.000,,10009,,2020-07-10 04:00:02.376,2020-07-04 21:23:52.545,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":9871}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-07-04 04:00:00.000,7936efec-a842-4180-8b6f-182ef0b3ebf1,1,
