com.samsung.shealth.step_daily_trend,6212007,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
81c42aa3-0a23-4b2c-8537-8373ddbb456f.binning_data.json,2019-12-14 05:00:48.018,2019-12-14 05:00:48.018,com.sec.android.app.shealth,0,4976,2.0555556,3762.36,175.72,im26HRLwRA,com.sec.android.app.shealth,81c42aa3-0a23-4b2c-8537-8373ddbb456f,1576195200000,
3e80bdf0-d4e9-437a-b144-a3cba0e9e49d.binning_data.json,2019-12-12 15:04:06.186,2019-12-12 15:04:06.186,com.sec.android.app.shealth,0,1637,1.7222222,1238.96,57.82,im26HRLwRA,com.sec.android.app.shealth,3e80bdf0-d4e9-437a-b144-a3cba0e9e49d,1576022400000,
f29c659a-f044-4b45-90ea-04bee11c69b9.binning_data.json,2019-12-13 05:33:38.633,2019-12-12 15:04:06.372,com.sec.android.app.shealth,0,3918,2.2500002,2980.8,140.28,im26HRLwRA,com.sec.android.app.shealth,f29c659a-f044-4b45-90ea-04bee11c69b9,1576108800000,
b280b276-9e5d-4c2d-bae8-e6998997bc06.binning_data.json,2019-12-14 03:57:37.817,2019-12-13 10:54:53.749,com.sec.android.app.shealth,-2,4976,1.3458239,3762.36,175.72,VfS0qUERdZ,com.sec.android.app.shealth,b280b276-9e5d-4c2d-bae8-e6998997bc06,1576195200000,
1ee56482-6062-4301-823f-e27641228f6d.binning_data.json,2019-12-13 03:36:29.158,2019-12-12 15:04:06.192,com.sec.android.app.shealth,-2,3918,1.3645988,2980.8,140.28,VfS0qUERdZ,com.sec.android.app.shealth,1ee56482-6062-4301-823f-e27641228f6d,1576108800000,
79a1de2b-c5dc-41c1-9abe-31282e5d0259.binning_data.json,2019-12-12 15:04:06.189,2019-12-12 15:04:06.189,com.sec.android.app.shealth,-2,1637,1.3658254,1238.96,57.82,VfS0qUERdZ,com.sec.android.app.shealth,79a1de2b-c5dc-41c1-9abe-31282e5d0259,1576022400000,
bc73f5ad-665c-4abc-b7c3-023ea662fd59.binning_data.json,2019-12-17 05:00:00.660,2019-12-17 05:00:00.660,com.sec.android.app.shealth,0,5865,2.1666667,4474.2197,200.90997,im26HRLwRA,com.sec.android.app.shealth,bc73f5ad-665c-4abc-b7c3-023ea662fd59,1576454400000,
e3a139a2-6b15-4524-bca9-8a16bc1ca45d.binning_data.json,2019-12-17 02:07:38.626,2019-12-16 10:39:34.315,com.sec.android.app.shealth,-2,5865,1.383459,4474.2197,200.90997,VfS0qUERdZ,com.sec.android.app.shealth,e3a139a2-6b15-4524-bca9-8a16bc1ca45d,1576454400000,
15af8ecf-3a28-48fb-88d8-4f60886d4b14.binning_data.json,2019-12-16 05:00:01.302,2019-12-16 05:00:01.302,com.sec.android.app.shealth,0,1526,1.7222222,1148.46,54.329998,im26HRLwRA,com.sec.android.app.shealth,15af8ecf-3a28-48fb-88d8-4f60886d4b14,1576368000000,
5accd2f9-f129-4ebc-9d46-8a91b614b713.binning_data.json,2019-12-16 03:29:05.090,2019-12-15 13:01:00.144,com.sec.android.app.shealth,-2,1526,1.3150377,1148.46,54.329998,VfS0qUERdZ,com.sec.android.app.shealth,5accd2f9-f129-4ebc-9d46-8a91b614b713,1576368000000,
805b9ca7-d13e-4523-9bea-741e1c72a9d2.binning_data.json,2019-12-20 05:00:00.389,2019-12-20 05:00:00.389,com.sec.android.app.shealth,0,5766,1.9166665,4354.58,204.81,im26HRLwRA,com.sec.android.app.shealth,805b9ca7-d13e-4523-9bea-741e1c72a9d2,1576713600000,
b97c4451-3f03-4c0e-a890-c8f61ce63b2b.binning_data.json,2019-12-15 04:11:16.309,2019-12-14 13:17:23.883,com.sec.android.app.shealth,-2,2750,1.2086606,2044.44,102.96,VfS0qUERdZ,com.sec.android.app.shealth,b97c4451-3f03-4c0e-a890-c8f61ce63b2b,1576281600000,
