com.samsung.shealth.tracker.pedometer_step_count,6212007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
10708,4,0,17,2022-05-05 09:38:00.000,,,2022-05-05 09:38:39.700,2022-05-05 09:38:16.736,17,1.2205558,13.07,0.77,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 09:39:00.000,5165fa41-d845-43fc-a76f-8d6d39725e11,
6543,4,0,10,2022-05-05 09:37:00.000,,,2022-05-05 09:38:16.687,2022-05-05 09:38:16.687,10,1.1111112,7.27,0.45,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 09:38:00.000,916d2220-b770-4968-a9ba-c036e47e4d0f,
3290,4,0,6,2022-05-05 09:58:00.000,,,2022-05-05 09:58:48.960,2022-05-05 09:58:48.960,6,1.3888888,4.57,0.27,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 09:59:00.000,87bc0897-5c45-4836-a868-d8c01a22d127,
13443,4,0,17,2022-05-05 10:29:00.000,,,2022-05-05 10:31:16.531,2022-05-05 10:31:16.531,17,0.8888889,11.95,0.81,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 10:30:00.000,9020338f-605b-45a5-995f-1c237d4e629d,
5040,4,0,8,2022-05-05 10:27:00.000,,,2022-05-05 10:31:16.508,2022-05-05 10:31:16.508,8,1.1944444,6.02,0.35,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 10:28:00.000,2b3a53f4-6c34-4d87-8c2f-e857b54b3882,
22730,4,0,37,2022-05-05 10:30:00.000,,,2022-05-05 10:31:16.543,2022-05-05 10:31:16.543,37,1.1944444,27.15,1.67,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 10:31:00.000,9eaac4e9-4dcf-47de-b549-8a55f6ceecaa,
32710,4,0,67,2022-05-05 10:45:00.000,,,2022-05-05 10:46:06.697,2022-05-05 10:46:06.697,67,1.6111112,52.7,2.69,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 10:46:00.000,5c3fa7ca-a950-40d6-9681-d6ee7a815d31,
43913,4,0,86,2022-05-05 10:44:00.000,,,2022-05-05 10:46:06.655,2022-05-05 10:46:06.655,86,1.5277778,67.09,3.45,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 10:45:00.000,19b9f54b-981a-468c-a727-808f680c8353,
26823,4,0,44,2022-05-05 10:07:00.000,,,2022-05-05 10:07:51.972,2022-05-05 10:07:29.469,44,1.2161099,32.620003,1.97,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 10:08:00.000,b70394fb-d810-41cd-9f6a-8ac475815783,
9412,4,0,12,2022-05-05 10:19:00.000,,,2022-05-05 10:19:12.110,2022-05-05 10:19:07.438,12,0.8955793,8.429998,0.58000004,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 10:20:00.000,fc833b6b-7f99-4b20-a11c-4ac1ea9eec06,
9946,4,0,16,2022-05-05 10:31:00.000,,,2022-05-05 10:31:16.563,2022-05-05 10:31:16.563,16,1.1944444,11.88,0.71,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 10:32:00.000,103b98ea-2c48-4094-9593-10a714da793a,
33840,4,0,63,2022-05-05 10:42:00.000,,,2022-05-05 10:46:06.605,2022-05-05 10:46:06.605,63,1.4166666,47.94,2.6,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 10:43:00.000,557a67df-4474-4bbd-aa29-c95d9723ba61,
3902,4,0,7,2022-05-05 10:46:00.000,,,2022-05-05 10:46:07.841,2022-05-05 10:46:07.355,7,1.3095597,5.11,0.31,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 10:47:00.000,a5e1f2de-b4c4-47a4-9dbe-88d5e17af45c,
15711,4,0,25,2022-05-05 10:49:00.000,,,2022-05-05 10:50:53.872,2022-05-05 10:50:53.872,25,1.1666666,18.33,1.12,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 10:50:00.000,d505f54b-9d7a-4b4c-98e7-580ef5623c03,
52757,4,0,95,2022-05-05 11:13:00.000,,,2022-05-05 11:15:01.611,2022-05-05 11:13:42.786,109,1.5582532,82.209984,4.38,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:14:00.000,126808b8-19dc-4f5d-96a4-9aa9eefe3786,
59467,4,0,123,2022-05-05 11:19:00.000,,,2022-05-05 11:20:48.088,2022-05-05 11:20:48.088,123,1.6388888,97.46,4.92,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:20:00.000,cf93895f-9fba-4aa0-9a54-3024c28ee782,
60000,4,0,121,2022-05-05 11:25:00.000,,,2022-05-05 11:35:01.821,2022-05-05 11:35:01.821,121,1.5828334,94.97,4.84,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:26:00.000,f5d8e787-ddd4-4dd3-b4a8-6e062bcdf690,
14481,4,0,28,2022-05-05 11:33:00.000,,,2022-05-05 11:35:02.108,2022-05-05 11:35:02.108,28,1.4722222,21.32,1.19,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:34:00.000,f10d5bb5-4626-4a36-8133-947b18cd3b0d,
13853,4,0,21,2022-05-05 12:15:00.000,,,2022-05-05 12:27:58.222,2022-05-05 12:15:27.110,21,1.1173899,15.48,0.93999994,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 12:16:00.000,642020a8-4990-4809-b8c4-6b02a8e10c0a,
11960,4,0,20,2022-05-05 10:26:00.000,,,2022-05-05 10:31:16.471,2022-05-05 10:31:16.471,20,1.25,14.95,0.86,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 10:27:00.000,115913a1-0c81-4a26-ba1e-8d566133c2bd,
27830,4,0,34,2022-05-05 10:50:00.000,,,2022-05-05 10:50:53.918,2022-05-05 10:50:53.918,44,1.0833334,30.15,2.54,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 10:51:00.000,879e38a6-3646-4acb-b809-8f4b6039bed9,
14027,4,0,28,2022-05-05 12:32:00.000,,,2022-05-05 12:34:14.125,2022-05-05 12:34:14.125,28,1.5555556,21.82,1.21,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 12:33:00.000,78ada3bd-ac03-42a1-9f85-b7498f6c5343,
3783,4,0,7,2022-05-05 12:39:00.000,,,2022-05-05 12:53:23.204,2022-05-05 12:53:23.204,7,1.4166666,5.36,0.31,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 12:40:00.000,3a684a78-8b1f-4f67-ae1a-33bdb8b62fbb,
60000,4,0,123,2022-05-05 13:02:00.000,,,2022-05-05 13:05:32.299,2022-05-05 13:05:32.299,123,1.619,97.14,4.92,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 13:03:00.000,673b64eb-fed6-42c9-91bd-15ab426a3085,
53049,4,0,82,2022-05-05 11:14:00.000,,,2022-05-05 11:15:01.657,2022-05-05 11:15:01.657,114,1.4722222,78.1,4.55,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:15:00.000,83dd6f14-bdb1-4675-983b-f6de0c1bc9b5,
47006,4,0,100,2022-05-05 10:43:00.000,,,2022-05-05 10:46:06.617,2022-05-05 10:46:06.617,100,1.6944444,79.65,4.03,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 10:44:00.000,98ecfd43-3a50-4f52-a969-7fcb8080c08f,
13230,4,0,25,2022-05-05 13:09:00.000,,,2022-05-05 13:13:21.458,2022-05-05 13:13:21.458,25,1.4444444,19.11,1.03,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 13:10:00.000,31c9cbc8-aec3-4954-a897-53f827e2f51d,
8040,4,0,12,2022-05-05 11:07:00.000,,,2022-05-05 11:07:41.234,2022-05-05 11:07:41.234,12,1.0833334,8.71,0.5,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:08:00.000,0b2a21f9-fd52-47ac-a70b-c1b47e5e8158,
25070,4,0,48,2022-05-05 13:18:00.000,,,2022-05-05 13:18:37.939,2022-05-05 13:18:37.939,48,1.4722222,36.91,1.98,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 13:19:00.000,aeaac3ce-fe1d-4e38-bb8b-0aac6e6dbd5b,
60000,4,0,125,2022-05-05 11:20:00.000,,,2022-05-05 11:21:05.374,2022-05-05 11:20:48.118,125,1.6533334,99.20001,4.9999995,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:21:00.000,35b6ac3f-a3f1-488b-ae1c-6325569e3127,
