Time of Measurement,Weight(kg),BMI,Body Fat(%),Fat-free Body Weight(kg),Subcutaneous Fat(%),Visceral Fat,Body Water(%),Skeletal Muscle(%),Muscle Mass(kg),Bone Mass(kg),Protein(%),BMR(kcal),Metabolic Age,Remarks
"April 9, 2022 09:28:03",80.90,28.3,16.01,67.95,13.1,10.0,60.6,54.3,64.50,3.40,19.1,1837.0,28.0,--
"April 8, 2022 06:19:05",81.65,28.6,16.19,68.43,13.2,10.0,60.5,54.1,65.00,3.42,19.1,1848.0,29.0,--
"April 7, 2022 06:08:45",81.65,28.6,16.22,68.41,13.2,10.0,60.5,54.1,65.00,3.42,19.1,1847.0,29.0,--
"April 6, 2022 06:14:36",81.25,28.4,16.08,68.18,13.1,10.0,60.6,54.2,64.80,3.41,19.1,1842.0,28.0,--
"April 5, 2022 06:04:17",81.40,28.5,16.13,68.27,13.2,10.0,60.6,54.2,64.90,3.41,19.1,1844.0,29.0,--
"April 4, 2022 06:34:17",82.80,29.0,16.52,69.12,13.4,11.0,60.3,53.9,65.70,3.46,19.0,1863.0,29.0,--
"April 3, 2022 08:42:29",81.95,28.7,16.28,68.61,13.3,11.0,60.4,54.1,65.20,3.43,19.1,1851.0,29.0,--
"April 3, 2022 08:42:15",81.95,28.7,16.28,68.61,13.3,11.0,60.4,54.1,65.20,3.43,19.1,1851.0,29.0,--
"April 2, 2022 08:44:51",81.45,28.5,16.16,68.29,13.2,10.0,60.5,54.2,64.90,3.41,19.1,1844.0,29.0,--
"April 1, 2022 06:38:34",81.65,28.6,16.19,68.43,13.2,10.0,60.5,54.1,65.00,3.42,19.1,1848.0,29.0,--
"March 31, 2022 07:18:40",81.30,28.5,16.09,68.22,13.1,10.0,60.6,54.2,64.80,3.41,19.1,1843.0,29.0,--
"March 29, 2022 06:31:43",81.85,28.7,16.27,68.54,13.3,11.0,60.5,54.1,65.10,3.43,19.1,1850.0,29.0,--
"March 28, 2022 06:20:19",82.20,28.8,16.34,68.77,13.3,11.0,60.4,54.0,65.30,3.44,19.1,1855.0,29.0,--
"March 27, 2022 08:29:27",81.70,28.6,16.22,68.45,13.2,10.0,60.5,54.1,65.00,3.42,19.1,1848.0,29.0,--
"March 26, 2022 10:46:35",81.15,28.4,16.07,68.11,13.1,10.0,60.6,54.2,64.70,3.41,19.1,1841.0,28.0,--
"March 25, 2022 06:48:20",81.15,28.4,16.07,68.11,13.1,10.0,60.6,54.2,64.70,3.41,19.1,1841.0,28.0,--
"March 24, 2022 06:30:25",81.25,28.4,16.08,68.18,13.1,10.0,60.6,54.2,64.80,3.41,19.1,1842.0,28.0,--
"March 23, 2022 06:27:31",81.45,28.5,16.13,68.31,13.2,10.0,60.6,54.2,64.90,3.42,19.1,1845.0,29.0,--
"March 22, 2022 06:52:07",81.50,28.5,16.17,68.32,13.2,10.0,60.5,54.2,64.90,3.42,19.1,1845.0,29.0,--
"March 21, 2022 06:16:45",82.15,28.8,16.33,68.73,13.3,11.0,60.4,54.1,65.30,3.44,19.1,1854.0,29.0,--
"March 20, 2022 09:21:23",81.45,28.5,16.13,68.31,13.2,10.0,60.6,54.2,64.90,3.42,19.1,1845.0,29.0,--
"March 19, 2022 08:54:17",81.10,28.4,16.07,68.07,13.1,10.0,60.6,54.2,64.70,3.40,19.1,1840.0,28.0,--
"March 18, 2022 07:05:18",81.50,28.5,16.14,68.35,13.2,10.0,60.5,54.2,64.90,3.42,19.1,1846.0,29.0,--
"March 17, 2022 06:28:26",81.45,28.5,16.13,68.31,13.2,10.0,60.6,54.2,64.90,3.42,19.1,1845.0,29.0,--
"March 16, 2022 06:04:01",81.60,28.6,16.21,68.37,13.2,10.0,60.5,54.1,65.00,3.42,19.1,1846.0,29.0,--
"March 15, 2022 06:08:23",82.05,28.7,16.32,68.66,13.3,11.0,60.4,54.1,65.20,3.43,19.1,1853.0,29.0,--
"March 14, 2022 06:24:53",82.35,28.8,16.38,68.86,13.3,11.0,60.4,54.0,65.40,3.44,19.1,1857.0,29.0,--
"March 12, 2022 07:45:24",81.45,28.5,16.13,68.31,13.2,10.0,60.6,54.2,64.90,3.42,19.1,1845.0,29.0,--
"March 11, 2022 06:28:29",82.20,28.8,16.36,68.75,13.3,11.0,60.4,54.0,65.30,3.44,19.1,1854.0,29.0,--
"March 10, 2022 06:04:19",82.25,28.8,16.37,68.79,13.3,11.0,60.4,54.0,65.30,3.44,19.1,1855.0,29.0,--
"March 9, 2022 06:02:44",82.10,28.7,16.32,68.70,13.3,11.0,60.4,54.1,65.30,3.43,19.1,1853.0,29.0,--
"March 8, 2022 06:13:00",82.05,28.7,16.32,68.66,13.3,11.0,60.4,54.1,65.20,3.43,19.1,1853.0,29.0,--
"March 7, 2022 06:22:37",82.40,28.9,16.42,68.87,13.4,11.0,60.3,54.0,65.40,3.44,19.1,1857.0,29.0,--
"March 6, 2022 10:30:41",82.15,28.8,16.33,68.73,13.3,11.0,60.4,54.1,65.30,3.44,19.1,1854.0,29.0,--
"March 5, 2022 07:51:27",82.25,28.8,16.37,68.79,13.3,11.0,60.4,54.0,65.30,3.44,19.1,1855.0,29.0,--
"March 4, 2022 06:31:37",82.30,28.8,16.38,68.82,13.3,11.0,60.4,54.0,65.40,3.44,19.1,1856.0,29.0,--
"March 3, 2022 06:34:23",82.60,28.9,16.44,69.02,13.4,11.0,60.3,54.0,65.60,3.45,19.1,1860.0,29.0,--
"March 2, 2022 08:23:12",82.10,28.7,16.32,68.70,13.3,11.0,60.4,54.1,65.30,3.43,19.1,1853.0,29.0,--
"March 1, 2022 06:10:02",82.65,28.9,16.47,69.03,13.4,11.0,60.3,54.0,65.60,3.45,19.0,1861.0,29.0,--
"February 28, 2022 06:44:44",82.90,29.0,--,--,--,--,--,--,--,--,--,--,--,--
"February 27, 2022 08:47:33",82.35,28.8,16.41,68.84,13.4,11.0,60.4,54.0,65.40,3.44,19.1,1856.0,29.0,--
"February 26, 2022 07:40:20",82.60,28.9,16.47,69.00,13.4,11.0,60.3,54.0,65.50,3.45,19.0,1860.0,29.0,--
"February 25, 2022 06:26:35",82.65,28.9,16.45,69.06,13.4,11.0,60.3,54.0,65.60,3.45,19.1,1861.0,29.0,--
"February 24, 2022 06:16:05",82.85,29.0,16.53,69.16,13.4,11.0,60.3,53.9,65.70,3.46,19.0,1863.0,29.0,--
"February 23, 2022 06:57:14",83.05,29.1,16.58,69.28,13.5,11.0,60.2,53.9,65.80,3.46,19.0,1866.0,29.0,--
"February 22, 2022 06:37:07",82.65,28.9,16.47,69.03,13.4,11.0,60.3,54.0,65.60,3.45,19.0,1861.0,29.0,--
"February 21, 2022 07:53:49",83.15,29.1,16.62,69.33,13.5,11.0,60.2,53.9,65.90,3.47,19.0,1867.0,29.0,--
"February 20, 2022 09:56:08",82.70,29.0,16.48,69.07,13.4,11.0,60.3,54.0,65.60,3.45,19.0,1861.0,29.0,--
