Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2020-01-04,"Aerobics, general",Cardio,727.0,53,,,,,
2020-01-04,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-01-05,"Aerobics, general",Cardio,1113.0,86,,,,,
2020-01-05,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-01-06,"Aerobics, general",Cardio,482.0,45,,,,,
2020-01-06,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-01-06,"Strength training (weight lifting, weight training)",Cardio,221.0,23,,,,,
2020-01-06,"Strength training (weight lifting, weight training)",Cardio,51.0,5,,,,,
2020-01-07,"Aerobics, general",Cardio,154.0,12,,,,,
2020-01-07,Elliptical Trainer,Cardio,368.0,33,,,,,
2020-01-07,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-01-07,"Strength training (weight lifting, weight training)",Cardio,453.0,61,,,,,
2020-01-08,"Aerobics, general",Cardio,475.0,44,,,,,
2020-01-08,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-01-08,"Strength training (weight lifting, weight training)",Cardio,173.0,19,,,,,
2020-01-08,Yoga,Cardio,60.0,26,,,,,
2020-01-09,"Aerobics, general",Cardio,790.0,80,,,,,
2020-01-09,Elliptical Trainer,Cardio,317.0,28,,,,,
2020-01-09,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-01-10,"Aerobics, general",Cardio,700.0,74,,,,,
2020-01-10,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-01-11,"Aerobics, general",Cardio,786.0,57,,,,,
2020-01-11,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-01-12,"Aerobics, general",Cardio,1259.0,94,,,,,
2020-01-12,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-01-13,"Aerobics, general",Cardio,889.0,84,,,,,
2020-01-13,Elliptical Trainer,Cardio,353.0,41,,,,,
2020-01-13,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-01-14,"Aerobics, general",Cardio,730.0,72,,,,,
2020-01-14,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-01-15,"Aerobics, general",Cardio,976.0,93,,,,,
2020-01-15,Elliptical Trainer,Cardio,243.0,20,,,,,
2020-01-15,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
2020-01-16,"Aerobics, general",Cardio,613.0,58,,,,,
2020-01-16,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,,
