Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2017-12-18,Breakfast,453.0,17.0,6.6,2.9,4.7,0.0,387.0,192.0,298.0,45.7,4.0,18.4,28.6,12.8,0.0,20.6,19.7,
2017-12-18,Lunch,599.9,18.9,5.2,5.7,6.0,0.0,466.2,654.0,425.6,41.1,6.0,6.8,65.0,10.8,0.0,9.6,21.7,
2017-12-19,Breakfast,453.0,17.0,6.6,2.9,4.7,0.0,387.0,192.0,298.0,45.7,4.0,18.4,28.6,12.8,0.0,20.6,19.7,
2017-12-19,Lunch,647.0,24.4,5.9,4.4,5.0,0.0,372.0,777.0,590.6,70.1,9.0,15.8,37.6,10.8,0.0,15.6,39.7,
2017-12-19,Dinner,602.2,27.1,4.5,3.9,15.7,0.0,94.2,144.7,1221.1,50.7,15.7,4.0,43.1,179.0,48.4,5.9,8.6,
2017-12-20,Breakfast,603.0,23.0,5.6,3.6,5.2,0.0,372.0,347.0,423.0,76.7,12.0,26.4,24.6,12.8,8.0,15.6,31.7,
2017-12-20,Lunch,807.0,29.9,9.1,5.6,5.2,0.0,387.0,827.0,700.6,86.1,9.0,32.8,48.6,12.8,0.0,26.6,31.7,
2017-12-20,Dinner,445.1,25.5,4.2,3.5,15.3,0.0,94.2,124.0,1030.2,18.0,12.7,3.4,39.3,179.0,48.4,4.4,8.6,
2017-12-21,Breakfast,613.0,21.5,9.6,2.9,4.7,0.0,402.0,242.0,458.0,63.7,4.0,35.4,39.6,14.8,0.0,35.6,19.7,
2017-12-22,Breakfast,398.5,12.5,5.1,2.0,2.8,0.0,201.0,176.0,282.8,45.6,4.0,18.4,26.3,7.4,0.0,17.8,14.9,
2017-12-22,Lunch,542.7,33.7,4.2,3.6,15.3,0.0,94.2,137.2,1193.2,21.5,13.8,4.7,40.6,174.2,80.8,4.4,8.6,
2018-05-07,Breakfast,489.6,15.3,4.5,2.7,5.0,0.0,494.0,702.2,686.1,3.1,0.6,1.6,84.0,10.8,1.2,5.6,12.2,
2018-05-07,Snacks,420.0,13.0,4.0,3.0,5.0,0.0,0.0,270.0,555.0,68.0,7.0,29.0,13.0,0.0,0.0,2.0,8.0,
2018-05-09,Breakfast,122.5,5.4,1.6,1.0,1.8,0.0,186.0,236.0,230.4,1.0,0.0,0.8,18.3,5.4,0.0,2.8,4.9,
2018-05-09,Lunch,544.6,15.1,5.1,2.7,4.5,0.0,271.7,487.2,733.6,43.6,4.6,20.8,59.9,5.4,0.0,2.8,4.9,
2018-06-06,Breakfast,1175.3,52.5,24.0,3.8,5.3,0.0,561.4,3494.4,1048.7,59.0,7.0,11.8,120.2,10.8,1.9,17.6,33.6,
2018-06-18,Lunch,499.8,15.1,4.1,2.7,4.9,0.0,457.7,674.5,1314.4,21.3,6.5,10.5,71.6,609.7,38.4,13.2,17.4,
2018-06-18,Dinner,1252.7,33.1,13.5,2.0,2.3,0.2,94.8,2176.9,664.1,170.5,20.0,48.7,72.2,29.7,1.0,58.2,28.5,
2018-06-18,Snacks,170.0,7.0,1.5,2.0,3.5,0.0,0.0,100.0,115.0,26.0,3.0,9.0,3.0,0.0,0.0,2.0,8.0,
2018-06-19,Lunch,689.4,25.6,5.7,4.1,11.9,0.0,461.0,712.5,1767.5,37.2,11.5,20.2,81.0,611.7,50.4,23.6,19.4,
2018-06-19,Dinner,908.0,28.0,11.0,3.6,1.2,0.3,80.0,1960.0,400.0,111.0,12.0,17.0,51.0,22.0,0.0,34.0,44.0,
2018-06-19,Snacks,394.0,8.0,1.5,3.0,3.5,0.0,35.0,400.0,460.0,44.5,5.0,21.0,46.0,30.0,342.0,40.0,16.0,
2018-06-20,Breakfast,19.0,1.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,250.0,10.0,0.0,
2018-06-20,Lunch,689.4,25.6,5.7,4.1,11.9,0.0,461.0,712.5,1767.5,37.2,11.5,20.2,81.0,611.7,50.4,23.6,19.4,
2018-06-20,Dinner,1268.0,44.0,19.8,2.4,0.8,1.4,145.0,3240.0,360.0,145.0,15.0,25.0,74.0,26.0,12.0,42.9,64.0,
2018-06-20,Snacks,134.0,1.0,0.5,0.0,0.0,0.0,35.0,170.0,0.0,5.0,1.0,2.0,35.0,0.0,2.0,15.0,6.0,
2018-06-21,Breakfast,19.0,1.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,250.0,10.0,0.0,
2018-06-21,Lunch,1015.1,29.0,4.7,3.4,10.7,0.0,400.3,637.9,1767.5,92.2,11.5,20.2,73.8,611.7,50.4,23.6,19.4,
2018-06-21,Dinner,626.3,25.6,9.0,2.5,1.8,0.2,175.7,1414.6,200.0,44.0,6.0,12.0,55.2,12.0,0.0,28.0,24.0,
2018-06-21,Snacks,429.0,10.5,4.5,0.0,0.0,0.0,65.0,965.0,0.0,40.0,2.0,4.0,48.0,10.0,22.0,35.0,17.0,
2018-06-22,Breakfast,15.0,1.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,250.0,10.0,0.0,
2018-06-25,Breakfast,19.0,1.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,250.0,10.0,0.0,
2018-06-25,Lunch,949.4,32.6,7.2,6.1,14.9,0.0,461.0,952.5,1987.5,78.2,15.5,40.2,91.0,621.7,60.4,43.6,29.4,
2018-06-25,Dinner,1066.0,39.0,17.9,1.2,0.4,0.2,140.0,2550.0,180.0,116.0,6.0,18.0,54.0,32.0,0.0,30.0,40.0,
2018-06-26,Breakfast,15.0,1.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,250.0,10.0,0.0,
2018-06-26,Lunch,55.0,0.8,0.1,0.0,0.0,0.0,1.7,41.7,0.0,6.0,0.2,0.8,2.3,0.0,0.0,0.3,1.7,
2018-06-27,Breakfast,23.0,1.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,50.0,250.0,10.0,0.0,
2018-06-27,Lunch,1039.4,39.1,9.7,5.1,13.4,0.0,461.0,952.5,2312.5,87.2,19.0,42.7,94.0,611.7,50.4,25.6,24.4,
2018-06-27,Dinner,863.5,25.2,11.2,2.8,2.4,0.2,256.0,1921.0,446.6,97.8,9.0,13.6,58.3,23.4,0.0,26.8,34.9,
2018-06-27,Snacks,130.0,1.0,0.5,0.0,0.0,0.0,35.0,170.0,0.0,5.0,1.0,2.0,25.0,0.0,2.0,15.0,6.0,
2018-06-28,Breakfast,19.0,1.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,250.0,10.0,0.0,
2018-07-09,Breakfast,19.0,1.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,250.0,10.0,0.0,
2018-07-09,Lunch,744.8,21.9,5.0,5.0,7.9,0.0,457.7,647.3,1528.0,62.1,12.8,24.4,80.6,76.0,32.9,13.9,25.6,
2018-07-09,Dinner,1276.5,43.0,13.9,3.4,2.6,0.2,291.0,2316.0,482.8,127.6,15.0,19.4,89.3,23.4,2.0,43.8,50.9,
2018-07-10,Breakfast,19.0,1.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,250.0,10.0,0.0,
2018-07-10,Lunch,694.3,29.9,5.6,10.6,10.3,0.0,271.7,665.6,764.9,42.1,6.4,18.5,70.7,69.6,14.2,7.8,19.1,
2018-07-27,Breakfast,20.0,2.0,0.0,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,250.0,10.0,0.0,
2018-07-27,Lunch,860.0,42.0,11.0,1.5,3.5,1.0,80.0,2000.0,105.0,80.0,5.0,18.0,45.0,0.0,0.0,2.0,6.0,
2019-01-05,Breakfast,49.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,5.2,100.0,500.0,20.0,0.0,
2019-01-05,Lunch,455.0,17.7,7.1,2.9,5.7,0.0,389.0,631.0,561.8,26.9,12.0,6.6,56.6,10.8,1.0,27.6,10.7,
2019-01-05,Dinner,183.4,4.0,1.0,1.0,1.0,0.0,95.7,0.0,286.0,0.0,0.0,0.0,34.9,0.0,0.0,12.0,1.0,
2019-02-25,Breakfast,32.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.5,0.0,0.0,4.1,100.0,500.0,20.0,0.0,
2019-02-25,Lunch,620.1,18.7,5.5,3.8,6.4,0.1,617.3,588.0,696.2,25.1,2.2,2.0,87.4,16.2,0.0,31.8,21.2,
2019-02-25,Dinner,711.5,36.8,9.6,1.0,1.8,0.1,266.0,1349.0,69.0,52.4,8.0,10.2,45.3,9.4,8.0,42.8,33.9,
2019-04-08,Breakfast,20.8,0.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.5,0.0,0.0,4.1,50.0,750.0,10.0,0.0,
2019-04-08,Lunch,637.6,14.3,1.2,1.6,3.8,0.0,34.0,984.3,141.8,56.1,15.8,8.2,72.4,272.8,5.1,27.8,13.2,
2019-04-08,Dinner,1749.0,41.5,22.8,1.8,1.8,1.1,117.4,1290.7,1514.5,260.0,21.0,9.2,77.0,21.0,0.0,650.7,45.7,
2019-04-08,Snacks,829.2,12.1,1.9,5.1,0.3,0.0,0.0,2430.6,17229.2,144.2,74.6,37.7,88.2,5670.6,1496.3,310.7,458.6,
